kind,epoch,batch,total,value,policy,samples
epoch,194,0,15644.768555,1287.146729,14357.622070,3
batch,195,1,10123.236328,539.034363,9584.202148,3
epoch,195,0,10123.236328,539.034363,9584.202148,3
batch,196,1,14897.868164,1199.056519,13698.811523,3
epoch,196,0,14897.868164,1199.056519,13698.811523,3
batch,197,1,10988.228516,907.160645,10081.067383,3
epoch,197,0,10988.228516,907.160645,10081.067383,3
batch,198,1,41722.085938,1287.019409,40435.066406,3
epoch,198,0,41722.085938,1287.019409,40435.066406,3
batch,199,1,12174.147461,1205.929321,10968.217773,3
epoch,199,0,12174.147461,1205.929321,10968.217773,3
batch,200,1,11687.588867,1287.140625,10400.448242,3
epoch,200,0,11687.588867,1287.140625,10400.448242,3
batch,201,1,13460.246094,1286.957520,12173.288086,3
epoch,201,0,13460.246094,1286.957520,12173.288086,3
batch,202,1,27188.437500,1205.826294,25982.611328,3
epoch,202,0,27188.437500,1205.826294,25982.611328,3
batch,203,1,12457.167969,1287.155029,11170.012695,3
epoch,203,0,12457.167969,1287.155029,11170.012695,3
batch,204,1,11955.095703,1051.138062,10903.958008,3
epoch,204,0,11955.095703,1051.138062,10903.958008,3
batch,205,1,23223.531250,487.080322,22736.451172,3
